"","cg1","cg2","cg3","cl1","cl2","cl3","cw1","cw2","cw3","sg1","sg2","sg3","sl1","sl2","sl3","sw1","sw2","sw3"
"WBGene00016468",1.002293,0.870408,0.993272,0.996636,1.147008,0.21521,0.635426,0.529634,0.183307,0,0,0.02157,2.052234,1.442642,0.244269,1.18516,1.269556,0.002026
"WBGene00016469",16.056117,15.404855,14.238383,17.21808,13.683234,10.43563,13.361684,10.843057,4.196936,5.181204,47.253634,7.461517,5.295574,1.790856,3.92037,5.22868,4.123555,0
"WBGene00016470",0,0,0,0.026385,0.023647,0.034185,0,0,0.014985,0,0,0.147254,0.034633,2.599676,0,0,0,2.078216
"WBGene00016471",0,0,0,0.048509,0,0,0,0,0,0,0,0,0.588972,0,0.02468,0,0,0
"WBGene00016472",0.024179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00016473",0,0.090782,0.090778,0.050621,0.070221,0,0,0.053149,0,0,0,0,0,0,0,0,0,0
"WBGene00016474",23.78028,24.184388,19.317637,40.699438,34.987443,20.882532,44.066509,31.481212,17.686039,13.308159,0,3.355382,10.338833,0,6.757985,5.726375,2.019329,0
"WBGene00016475",0.041524,0.173989,0,0.048509,0.065212,0.031425,0.02007,0.049358,0,0,0,1.666003,1.30529,0,0,0.372031,0.302356,0
"WBGene00016476",0,0,0,0.024157,0.02165,0,0,0,0,0,0,0.031112,0,1.513011,0.073742,0.324218,0,0
"WBGene00016477",0,0.020986,0,0.070212,0.020975,0,0,0,0.013291,0.018356,0,0,0.12288,0,0.047629,0.201929,0.029175,1.605546
"WBGene00016478",0,0,0.021346,0,0.064006,0,0.078797,0,0,0,0,0,0,0.027358,0,0.570548,0,0
"WBGene00016479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008804
"WBGene00016480",0.020762,0,0,0.026156,0,0.016944,0,0,0,0,0,0,0.206936,0,0.026614,0,0,0
"WBGene00016481",5.484794,4.867721,3.072119,8.854834,8.374511,4.410284,11.63523,8.481607,4.093778,1.116758,0,0.420254,0.671668,0.869318,0,1.343703,0.110938,0
"WBGene00016483",1.314495,1.619974,0.728957,4.245583,3.157308,1.638495,5.905098,4.963282,0.949059,0,0,0.601082,0,0,0,0,0.33782,0
"WBGene00016484",0.213066,0.446388,0.267821,2.688237,1.829239,0.580489,2.100896,1.823526,0.706799,0,0,0,0,0,0,0,0,0.018069
"WBGene00016485",0.207998,0.092551,0.265109,0.550686,0.860829,0.037934,0.423993,0.537846,0.045727,0,0.00492,0.081701,0.211372,0.012618,0,0,1.229968,0
"WBGene00016486",0.131641,0.112826,0.112822,0.251653,0.639017,0.090569,0.30079,0.246574,0.023819,0,0,0,0.247738,0,0,0,0.383422,0
"WBGene00016487",0,0,0,0,0,0,0,0,0,0,7.229882,0,0,0.013336,0,0,0.064323,0.012636
"WBGene00016488",0.064008,0.067051,0.107277,0.119642,0.093822,0,0,0.030434,0.02548,0,0,0,0.03926,0.154682,0,0.028674,0,0
"WBGene00016489",17.302353,16.180499,14.218871,15.938514,16.595032,11.217718,9.527223,10.17833,6.39566,0.486648,126.724773,20.421985,50.086252,30.909091,48.501206,45.995542,40.137375,0.864968
"WBGene00016490",8.491995,9.146739,7.478485,9.380596,8.29949,7.851957,6.885119,6.620974,5.111542,7.372878,0.34952,2.782049,4.673122,4.102966,1.994503,1.601067,1.919875,1.074456
"WBGene00016491",1.860872,2.245086,2.150888,4.737672,6.033052,1.087786,4.255323,3.823932,1.728446,0.011759,0,0.746617,1.987599,0,12.585859,0.62522,8.036576,0
"WBGene00016492",3.018127,2.488288,3.132183,3.852346,2.545513,3.024315,2.998657,2.32529,2.929424,0.20484,0,2.046249,1.521252,0,0.398635,0.938923,3.011617,0
"WBGene00016493",3863.007322,4226.818178,3843.217654,3255.125729,3717.290869,4054.553663,4004.573551,4754.792295,6116.340148,1876.013411,469.617564,380.456898,428.98858,149.758766,231.288491,634.574147,378.575317,561.448582
"WBGene00016494",12.413096,11.921045,16.764576,14.581841,17.128578,15.387639,12.582203,6.922614,10.862674,10.37963,96.532592,82.569521,102.884357,42.969067,63.791406,74.716813,217.233086,47.766197
"WBGene00016495",7.632909,6.542236,9.153953,8.735662,10.330539,6.098286,6.19662,4.445018,3.773254,4.533338,0,3.704536,5.955481,6.152808,7.303667,6.033007,14.571248,6.138059
"WBGene00016496",135.313829,133.624006,130.292616,144.330416,136.168102,97.407545,107.076783,95.279059,77.387964,18.760966,0.08129,41.13442,89.978443,69.821675,74.798335,71.410798,78.225557,45.28539
"WBGene00016497",0.081909,0,0.131796,0.146961,0.04374,0.13991,0,0.136097,0,0,0,0.205786,0.02978,0,0,0,0,0
"WBGene00016499",4.05848,3.405053,4.152806,4.236396,3.73771,4.507609,2.760853,1.876092,1.333843,0,0,3.797576,2.160876,3.506356,2.814238,7.44917,2.64053,8.238137
"WBGene00016500",10.873544,12.309607,11.250147,12.323303,10.079726,9.248895,7.355217,6.933016,5.863042,0.234417,0.023634,4.346583,12.720858,10.322667,6.226808,9.881647,9.732232,0.856991
"WBGene00016501",5.083868,3.484775,6.252656,10.718663,14.311051,5.268653,7.443153,6.686204,3.444113,3.220086,2.822669,32.48658,53.016709,24.888272,53.002525,21.993332,175.559351,23.548012
"WBGene00016502",4.335952,6.026959,4.891237,7.111046,3.841281,5.300754,3.627302,3.700353,1.825603,0,0,48.133586,6.393081,10.523026,9.416408,29.789742,9.04673,78.493374
"WBGene00016503",1.443608,1.425815,1.036912,0.963698,0.906865,0.530649,0.637957,0.621025,0.519932,11.035073,0,0,4.174306,9.469107,1.07866,9.561951,2.853179,0
"WBGene00016504",7.427325,9.87509,2.650344,6.674498,5.939066,1.698639,5.799205,2.231434,1.245461,6.693067,0,1.473619,4.443022,0.054789,0,2.696547,4.873367,0
"WBGene00016505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00016506",2.575564,3.329435,1.822501,3.553014,2.467091,2.135792,2.38384,1.943307,1.745127,0.012552,0,13.583538,5.934607,24.627863,2.801067,6.398018,3.780749,7.923695
"WBGene00016507",8.810025,8.194251,8.111037,11.096951,11.975993,6.934186,8.060283,7.882193,5.41364,1.650338,0,56.852242,35.860522,58.920643,42.453524,45.620603,33.045493,8.740323
"WBGene00016508",17.369414,15.832789,17.523643,21.289442,17.958693,15.463865,8.072341,11.367824,12.137543,0,0,0,0,0,0,0,0,0
"WBGene00016509",80.470675,76.766456,81.026977,85.693511,89.288637,65.858518,76.501204,73.30156,61.460924,9.430763,39.768516,66.620596,64.143771,39.382102,47.218928,35.89966,71.234793,37.322532
"WBGene00016511",15.324571,15.108711,22.862754,17.560414,15.981997,16.033615,13.245643,13.00124,14.413446,4.740912,73.124407,52.335823,66.379056,35.399485,69.236717,54.415558,42.361931,5.418279
"WBGene00016512",4.219982,4.865521,5.175846,10.545707,13.828895,2.507808,5.307708,5.985371,3.629389,0.052348,0,4.670729,8.498789,5.215905,20.353289,3.572544,12.311965,0
"WBGene00016513",3.584264,4.034881,2.383347,2.943666,3.292857,1.340395,2.479495,1.571672,1.607617,0,0,1.255524,2.229022,0.023669,0.649661,3.267667,2.165886,0.009035
"WBGene00016514",0.295841,0.383085,0.034824,0.349548,0.309742,0.287859,0.600438,0.368839,0.168237,10.919939,0,0,4.73088,6.199839,10.232772,4.765816,2.278938,0.017921
"WBGene00016516",0.764818,0.774014,1.303547,1.50681,1.268995,0.559188,0.833331,0.826943,0.339715,0,0,0.916678,1.008791,0.021754,1.255868,0.747667,0.877835,0
"WBGene00016517",0.423522,0.290081,0.085314,0.304476,0.289931,0.110949,0.34643,0.116177,0.108072,0,0,0,0,0,0,0.145945,0,0
"WBGene00016518",4.013013,5.379093,7.171818,6.071405,12.388764,3.886138,1.654664,2.76203,2.27123,0,0,0,8.860789,0,2.0347,4.272191,9.050747,0.725803
"WBGene00016519",0.056368,0,0,0,0,0,0,0,0,0,0,0,1.037221,3.178425,2.702562,1.883335,0.930342,0.023902
"WBGene00016521",0.092788,0.048599,0.024299,0.054199,0.072861,0.017555,0.022424,0,0,0,0,0.221043,0,0,0,0,0,0
"WBGene00016522",1.353781,1.418132,1.044895,2.538776,1.566594,1.145859,1.188158,0.479941,0.649994,1.158789,0,2.983824,3.550891,3.551347,0.021175,1.057318,3.437202,0
"WBGene00016523",22.809985,19.222601,24.084663,62.049105,72.563975,11.480631,65.196882,53.416484,6.814878,6.765547,0,1.668298,9.47297,0.220843,12.036513,1.514736,66.569962,2.26304
"WBGene00016524",6.603288,5.754714,6.203318,7.585823,7.569269,4.756188,6.085979,5.145733,4.475747,0.704685,0,6.843828,7.910072,3.532832,5.851191,5.155784,9.896455,0.055907
"WBGene00016525",0.320348,0.206508,0.206499,0.201514,0,0.149192,0,0.117167,0.098094,0,0,2.298705,0.132253,0,0,0,0,0.020898
"WBGene00016526",0.115985,0.097198,0.121493,0.081298,0.121435,0.140442,0.022424,0.055148,0.107731,0,0,0,0,0,0,0,0.185801,0.009836
"WBGene00016527",0.045371,0,0,0,0,0,0.02193,0.035954,0.030101,0,0,0,0.052179,0,0,0,0,0
"WBGene00016528",0,0,0,0,0,0.034539,0,0,0,0.083633,0,0,0,0,0,0,0,0
"WBGene00016529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
